Year,Indicator Name,Indicator Code,Value
2019,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q4_preT_tot,17.7934510494469
2016,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q4_preT_tot,16.9102715292557
2012,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q4_preT_tot,15.1851379366426
2009,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q4_preT_tot,16.6461205013194
2006,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q4_preT_tot,15.6676067661133
2019,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q4_rur,17.1472420933018
2016,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q4_rur,17.8119342103252
2012,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q4_rur,16.5910171961587
2009,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q4_rur,16.3548384507624
2006,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q4_rur,14.8326278295328
2019,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor,per_allsp.adq_q4_tot,18.1413770608496
2016,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor,per_allsp.adq_q4_tot,18.6316226593607
2012,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor,per_allsp.adq_q4_tot,19.1433006460604
2009,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor,per_allsp.adq_q4_tot,18.5051912325179
2006,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor,per_allsp.adq_q4_tot,15.5368268880207
2019,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q4_urb,22.2567629135046
2016,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q4_urb,27.4859320560781
2012,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q4_urb,29.8286999089962
2009,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q4_urb,22.6496153425649
2006,Adequacy of benefits in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q4_urb,25.9563505115398
2019,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q5_preT_tot,14.7372827776246
2016,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q5_preT_tot,15.4558561635401
2012,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q5_preT_tot,14.6726877792873
2009,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q5_preT_tot,19.6785358420342
2006,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q5_preT_tot,17.9462011771684
2019,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q5_rur,19.092252217678
2016,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q5_rur,19.7696440425507
2012,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q5_rur,17.4368639910814
2009,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q5_rur,25.1383324112277
2006,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q5_rur,23.2920635697748
2019,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.adq_q5_tot,19.3739833886193
2016,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.adq_q5_tot,20.6845057489993
2012,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.adq_q5_tot,19.0309915295235
2009,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.adq_q5_tot,24.5391781682161
2006,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.adq_q5_tot,24.0990780510603
2019,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q5_urb,17.8696009776742
2016,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q5_urb,22.1063094281976
2012,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q5_urb,22.0273192852899
2009,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q5_urb,23.9367858993236
2006,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q5_urb,23.5218719656351
2019,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor  (preT),per_allsp.avt_ep_preT_tot,2.44237946543734
2016,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor  (preT),per_allsp.avt_ep_preT_tot,1.92367066654674
2012,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor  (preT),per_allsp.avt_ep_preT_tot,1.69914019812931
2009,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor  (preT),per_allsp.avt_ep_preT_tot,0.985542342142191
2006,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor  (preT),per_allsp.avt_ep_preT_tot,0.655063079033681
2019,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor,per_allsp.avt_ep_tot,0.401761290814358
2016,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor,per_allsp.avt_ep_tot,0.356268240330682
2012,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor,per_allsp.avt_ep_tot,0.236678098068674
2009,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor,per_allsp.avt_ep_tot,0.135185233634857
2006,Average per capita transfer held by extreme poor (<$2.15 a day) -All Social Protection and Labor,per_allsp.avt_ep_tot,0.163408798809978
2019,Average per capita transfer -All Social Protection and Labor (preT),per_allsp.avt_pop_preT_tot,1.40369874571684
2016,Average per capita transfer -All Social Protection and Labor (preT),per_allsp.avt_pop_preT_tot,1.33874864399645
2012,Average per capita transfer -All Social Protection and Labor (preT),per_allsp.avt_pop_preT_tot,1.09211067392908
2009,Average per capita transfer -All Social Protection and Labor (preT),per_allsp.avt_pop_preT_tot,0.944976859488479
2006,Average per capita transfer -All Social Protection and Labor (preT),per_allsp.avt_pop_preT_tot,0.824819832688423
2019,Average per capita transfer -All Social Protection and Labor -rural,per_allsp.avt_pop_rur,1.25401562018374
2016,Average per capita transfer -All Social Protection and Labor -rural,per_allsp.avt_pop_rur,1.21970006374921
2012,Average per capita transfer -All Social Protection and Labor -rural,per_allsp.avt_pop_rur,0.93018544889674
2009,Average per capita transfer -All Social Protection and Labor -rural,per_allsp.avt_pop_rur,0.848138402647596
2006,Average per capita transfer -All Social Protection and Labor -rural,per_allsp.avt_pop_rur,0.736331427046861
2019,Average per capita transfer -All Social Protection and Labor,per_allsp.avt_pop_tot,1.40369874571684
2016,Average per capita transfer -All Social Protection and Labor,per_allsp.avt_pop_tot,1.33874864399645
2012,Average per capita transfer -All Social Protection and Labor,per_allsp.avt_pop_tot,1.09211067392908
2009,Average per capita transfer -All Social Protection and Labor,per_allsp.avt_pop_tot,0.944976859488479
2006,Average per capita transfer -All Social Protection and Labor,per_allsp.avt_pop_tot,0.824819832688423
2019,Average per capita transfer -All Social Protection and Labor -urban,per_allsp.avt_pop_urb,2.40821161816167
2016,Average per capita transfer -All Social Protection and Labor -urban,per_allsp.avt_pop_urb,2.15023805419508
2012,Average per capita transfer -All Social Protection and Labor -urban,per_allsp.avt_pop_urb,2.10549667325538
2009,Average per capita transfer -All Social Protection and Labor -urban,per_allsp.avt_pop_urb,1.57765898664818
2006,Average per capita transfer -All Social Protection and Labor -urban,per_allsp.avt_pop_urb,1.41711805310984
2019,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor (preT),per_allsp.avt_q1_preT_tot,1.05921162829961
2016,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor (preT),per_allsp.avt_q1_preT_tot,0.928818466222097
2012,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor (preT),per_allsp.avt_q1_preT_tot,0.722020888379998
2009,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor (preT),per_allsp.avt_q1_preT_tot,0.510806724073027
2006,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor (preT),per_allsp.avt_q1_preT_tot,0.460313137073162
2019,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor -rural,per_allsp.avt_q1_rur,0.519834800036711
2016,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor -rural,per_allsp.avt_q1_rur,0.41658870288062
2012,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor -rural,per_allsp.avt_q1_rur,0.21191494428069
2009,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor -rural,per_allsp.avt_q1_rur,0.184206204109659
2006,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor -rural,per_allsp.avt_q1_rur,0.194748457113791
2019,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor,per_allsp.avt_q1_tot,0.519823028528596
2016,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor,per_allsp.avt_q1_tot,0.412239558114134
2012,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor,per_allsp.avt_q1_tot,0.223785381463595
2009,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor,per_allsp.avt_q1_tot,0.19556247884078
2006,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor,per_allsp.avt_q1_tot,0.193375457293509
2019,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor -urban,per_allsp.avt_q1_urb,0.624047946119232
2016,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor -urban,per_allsp.avt_q1_urb,0.51564337701485
2012,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor -urban,per_allsp.avt_q1_urb,0.276700464124536
2009,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor -urban,per_allsp.avt_q1_urb,0.29480749803682
2006,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor -urban,per_allsp.avt_q1_urb,0.183778676704814
2019,Average per capita transfer held by 2nd quintile -All Social Protection and Labor (preT),per_allsp.avt_q2_preT_tot,0.782978282045917
2016,Average per capita transfer held by 2nd quintile -All Social Protection and Labor (preT),per_allsp.avt_q2_preT_tot,0.823306533704753
2012,Average per capita transfer held by 2nd quintile -All Social Protection and Labor (preT),per_allsp.avt_q2_preT_tot,0.547795781781308
2009,Average per capita transfer held by 2nd quintile -All Social Protection and Labor (preT),per_allsp.avt_q2_preT_tot,0.445917540154878
2006,Average per capita transfer held by 2nd quintile -All Social Protection and Labor (preT),per_allsp.avt_q2_preT_tot,0.46259805899443
2019,Average per capita transfer held by 2nd quintile -All Social Protection and Labor -rural,per_allsp.avt_q2_rur,0.673389570486044
2016,Average per capita transfer held by 2nd quintile -All Social Protection and Labor -rural,per_allsp.avt_q2_rur,0.575790876700656
2012,Average per capita transfer held by 2nd quintile -All Social Protection and Labor -rural,per_allsp.avt_q2_rur,0.455595281109181
2009,Average per capita transfer held by 2nd quintile -All Social Protection and Labor -rural,per_allsp.avt_q2_rur,0.321749081540231
2006,Average per capita transfer held by 2nd quintile -All Social Protection and Labor -rural,per_allsp.avt_q2_rur,0.27048182201089
2019,Average per capita transfer held by 2nd quintile -All Social Protection and Labor,per_allsp.avt_q2_tot,0.714810956898322
2016,Average per capita transfer held by 2nd quintile -All Social Protection and Labor,per_allsp.avt_q2_tot,0.626768632542118
2012,Average per capita transfer held by 2nd quintile -All Social Protection and Labor,per_allsp.avt_q2_tot,0.464827296395837
2009,Average per capita transfer held by 2nd quintile -All Social Protection and Labor,per_allsp.avt_q2_tot,0.338770028629556
2006,Average per capita transfer held by 2nd quintile -All Social Protection and Labor,per_allsp.avt_q2_tot,0.270540513493929
2019,Average per capita transfer held by 2nd quintile -All Social Protection and Labor -urban,per_allsp.avt_q2_urb,1.26238713704194
2016,Average per capita transfer held by 2nd quintile -All Social Protection and Labor -urban,per_allsp.avt_q2_urb,0.935190301878474
2012,Average per capita transfer held by 2nd quintile -All Social Protection and Labor -urban,per_allsp.avt_q2_urb,0.936272406553447
2009,Average per capita transfer held by 2nd quintile -All Social Protection and Labor -urban,per_allsp.avt_q2_urb,0.593392894570576
2006,Average per capita transfer held by 2nd quintile -All Social Protection and Labor -urban,per_allsp.avt_q2_urb,0.263549828474669
2019,Average per capita transfer held by 3rd quintile -All Social Protection and Labor (preT),per_allsp.avt_q3_preT_tot,1.06713654091806
2016,Average per capita transfer held by 3rd quintile -All Social Protection and Labor (preT),per_allsp.avt_q3_preT_tot,1.06347854177443
2012,Average per capita transfer held by 3rd quintile -All Social Protection and Labor (preT),per_allsp.avt_q3_preT_tot,0.863526349347623
2009,Average per capita transfer held by 3rd quintile -All Social Protection and Labor (preT),per_allsp.avt_q3_preT_tot,0.747238858560322
2006,Average per capita transfer held by 3rd quintile -All Social Protection and Labor (preT),per_allsp.avt_q3_preT_tot,0.611503065530765
2019,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -rural,per_allsp.avt_q3_rur,0.963603513400434
2016,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -rural,per_allsp.avt_q3_rur,0.902422649439042
2012,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -rural,per_allsp.avt_q3_rur,0.562755864605268
2009,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -rural,per_allsp.avt_q3_rur,0.535145494749631
2006,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -rural,per_allsp.avt_q3_rur,0.547691837453087
2019,Average per capita transfer held by 3rd quintile -All Social Protection and Labor,per_allsp.avt_q3_tot,1.04265488124572
2016,Average per capita transfer held by 3rd quintile -All Social Protection and Labor,per_allsp.avt_q3_tot,0.99312690661046
2012,Average per capita transfer held by 3rd quintile -All Social Protection and Labor,per_allsp.avt_q3_tot,0.701799020992556
2009,Average per capita transfer held by 3rd quintile -All Social Protection and Labor,per_allsp.avt_q3_tot,0.589484169719982
2006,Average per capita transfer held by 3rd quintile -All Social Protection and Labor,per_allsp.avt_q3_tot,0.581889835617885
2019,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -urban,per_allsp.avt_q3_urb,2.15181840920488
2016,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -urban,per_allsp.avt_q3_urb,1.59131424120489
2012,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -urban,per_allsp.avt_q3_urb,1.92036134169225
2009,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -urban,per_allsp.avt_q3_urb,1.10987563425158
2006,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -urban,per_allsp.avt_q3_urb,0.736938097846938
2019,Average per capita transfer held by 4th quintile -All Social Protection and Labor (preT),per_allsp.avt_q4_preT_tot,1.8861851179247
2016,Average per capita transfer held by 4th quintile -All Social Protection and Labor (preT),per_allsp.avt_q4_preT_tot,1.68566683297171
2012,Average per capita transfer held by 4th quintile -All Social Protection and Labor (preT),per_allsp.avt_q4_preT_tot,1.33625778174811
2009,Average per capita transfer held by 4th quintile -All Social Protection and Labor (preT),per_allsp.avt_q4_preT_tot,1.31682909748396
2006,Average per capita transfer held by 4th quintile -All Social Protection and Labor (preT),per_allsp.avt_q4_preT_tot,1.18794882784284
2019,Average per capita transfer held by 4th quintile -All Social Protection and Labor -rural,per_allsp.avt_q4_rur,1.55483882291741
2016,Average per capita transfer held by 4th quintile -All Social Protection and Labor -rural,per_allsp.avt_q4_rur,1.56657542020991
2012,Average per capita transfer held by 4th quintile -All Social Protection and Labor -rural,per_allsp.avt_q4_rur,1.28608683002018
2009,Average per capita transfer held by 4th quintile -All Social Protection and Labor -rural,per_allsp.avt_q4_rur,1.15921304692592
2006,Average per capita transfer held by 4th quintile -All Social Protection and Labor -rural,per_allsp.avt_q4_rur,1.02723402214494
2019,Average per capita transfer held by 4th quintile -All Social Protection and Labor,per_allsp.avt_q4_tot,1.7829206132055
2016,Average per capita transfer held by 4th quintile -All Social Protection and Labor,per_allsp.avt_q4_tot,1.73174343139241
2012,Average per capita transfer held by 4th quintile -All Social Protection and Labor,per_allsp.avt_q4_tot,1.59673467402292
2009,Average per capita transfer held by 4th quintile -All Social Protection and Labor,per_allsp.avt_q4_tot,1.37358498615381
2006,Average per capita transfer held by 4th quintile -All Social Protection and Labor,per_allsp.avt_q4_tot,1.10649179850963
2019,Average per capita transfer held by 4th quintile -All Social Protection and Labor -urban,per_allsp.avt_q4_urb,3.18271498878786
2016,Average per capita transfer held by 4th quintile -All Social Protection and Labor -urban,per_allsp.avt_q4_urb,3.4523119466119
2012,Average per capita transfer held by 4th quintile -All Social Protection and Labor -urban,per_allsp.avt_q4_urb,3.30168498483197
